Strategy,Strategy_Name,Threads,NFREQ,Rep,FFT_time,NonFFT_time,Total_time,Checksum
0,Multiple_Regions,1,65536,1,0.1264,1.056,1.182,23.2913
0,Multiple_Regions,1,65536,2,0.1266,1.055,1.182,23.2913
0,Multiple_Regions,1,65536,3,0.1263,1.056,1.182,23.2913
0,Multiple_Regions,1,65536,4,0.1262,1.056,1.182,23.2913
0,Multiple_Regions,1,65536,5,0.1261,1.056,1.182,23.2913
0,Multiple_Regions,2,131072,1,0.2649,1.059,1.324,23.2913
0,Multiple_Regions,2,131072,2,0.2658,1.059,1.325,23.2913
0,Multiple_Regions,2,131072,3,0.2677,1.059,1.327,23.2913
0,Multiple_Regions,2,131072,4,0.2665,1.059,1.326,23.2913
0,Multiple_Regions,2,131072,5,0.2673,1.059,1.326,23.2913
0,Multiple_Regions,4,262144,1,0.5574,1.065,1.623,23.2913
0,Multiple_Regions,4,262144,2,0.5574,1.064,1.621,23.2913
0,Multiple_Regions,4,262144,3,0.5566,1.064,1.621,23.2913
0,Multiple_Regions,4,262144,4,0.557,1.064,1.621,23.2913
0,Multiple_Regions,4,262144,5,0.556,1.064,1.62,23.2913
0,Multiple_Regions,8,524288,1,1.157,1.069,2.226,23.2913
0,Multiple_Regions,8,524288,2,1.157,1.067,2.224,23.2913
0,Multiple_Regions,8,524288,3,1.157,1.067,2.224,23.2913
0,Multiple_Regions,8,524288,4,1.159,1.067,2.225,23.2913
0,Multiple_Regions,8,524288,5,1.156,1.067,2.222,23.2913
0,Multiple_Regions,16,1048576,1,2.401,1.091,3.493,23.2913
0,Multiple_Regions,16,1048576,2,2.404,1.075,3.48,23.2913
0,Multiple_Regions,16,1048576,3,2.402,1.076,3.478,23.2913
0,Multiple_Regions,16,1048576,4,2.409,1.075,3.483,23.2913
0,Multiple_Regions,16,1048576,5,2.404,1.074,3.478,23.2913
0,Multiple_Regions,32,2097152,1,5.005,1.132,6.137,23.2913
0,Multiple_Regions,32,2097152,2,5.003,1.149,6.152,23.2913
0,Multiple_Regions,32,2097152,3,5.001,1.186,6.187,23.2913
0,Multiple_Regions,32,2097152,4,4.958,1.188,6.146,23.2913
0,Multiple_Regions,32,2097152,5,5.009,1.191,6.2,23.2913
0,Multiple_Regions,64,4194304,1,10.41,1.238,11.65,23.2913
0,Multiple_Regions,64,4194304,2,10.41,1.24,11.66,23.2913
0,Multiple_Regions,64,4194304,3,10.5,1.239,11.74,23.2913
0,Multiple_Regions,64,4194304,4,10.41,1.241,11.65,23.2913
0,Multiple_Regions,64,4194304,5,10.42,1.241,11.66,23.2913
1,Fewer_Regions,1,65536,1,0.1267,1.056,1.183,23.2913
1,Fewer_Regions,1,65536,2,0.1264,1.055,1.182,23.2913
1,Fewer_Regions,1,65536,3,0.1261,1.057,1.183,23.2913
1,Fewer_Regions,1,65536,4,0.1268,1.056,1.183,23.2913
1,Fewer_Regions,1,65536,5,0.1264,1.056,1.182,23.2913
1,Fewer_Regions,2,131072,1,0.2665,1.06,1.326,23.2913
1,Fewer_Regions,2,131072,2,0.2668,1.06,1.326,23.2913
1,Fewer_Regions,2,131072,3,0.2674,1.059,1.327,23.2913
1,Fewer_Regions,2,131072,4,0.2661,1.059,1.325,23.2913
1,Fewer_Regions,2,131072,5,0.2668,1.059,1.326,23.2913
