Starting tests for strategy1 (Multiple_Regions)
  Multiple_Regions | threads=1 | rep=1 | nfreq=65536
  Multiple_Regions | threads=1 | rep=2 | nfreq=65536
  Multiple_Regions | threads=1 | rep=3 | nfreq=65536
  Multiple_Regions | threads=1 | rep=4 | nfreq=65536
  Multiple_Regions | threads=1 | rep=5 | nfreq=65536
  Multiple_Regions | threads=2 | rep=1 | nfreq=131072
  Multiple_Regions | threads=2 | rep=2 | nfreq=131072
  Multiple_Regions | threads=2 | rep=3 | nfreq=131072
  Multiple_Regions | threads=2 | rep=4 | nfreq=131072
  Multiple_Regions | threads=2 | rep=5 | nfreq=131072
  Multiple_Regions | threads=4 | rep=1 | nfreq=262144
  Multiple_Regions | threads=4 | rep=2 | nfreq=262144
  Multiple_Regions | threads=4 | rep=3 | nfreq=262144
  Multiple_Regions | threads=4 | rep=4 | nfreq=262144
  Multiple_Regions | threads=4 | rep=5 | nfreq=262144
  Multiple_Regions | threads=8 | rep=1 | nfreq=524288
  Multiple_Regions | threads=8 | rep=2 | nfreq=524288
  Multiple_Regions | threads=8 | rep=3 | nfreq=524288
  Multiple_Regions | threads=8 | rep=4 | nfreq=524288
  Multiple_Regions | threads=8 | rep=5 | nfreq=524288
  Multiple_Regions | threads=16 | rep=1 | nfreq=1048576
  Multiple_Regions | threads=16 | rep=2 | nfreq=1048576
  Multiple_Regions | threads=16 | rep=3 | nfreq=1048576
  Multiple_Regions | threads=16 | rep=4 | nfreq=1048576
  Multiple_Regions | threads=16 | rep=5 | nfreq=1048576
  Multiple_Regions | threads=32 | rep=1 | nfreq=2097152
  Multiple_Regions | threads=32 | rep=2 | nfreq=2097152
  Multiple_Regions | threads=32 | rep=3 | nfreq=2097152
  Multiple_Regions | threads=32 | rep=4 | nfreq=2097152
  Multiple_Regions | threads=32 | rep=5 | nfreq=2097152
  Multiple_Regions | threads=64 | rep=1 | nfreq=4194304
  Multiple_Regions | threads=64 | rep=2 | nfreq=4194304
  Multiple_Regions | threads=64 | rep=3 | nfreq=4194304
  Multiple_Regions | threads=64 | rep=4 | nfreq=4194304
  Multiple_Regions | threads=64 | rep=5 | nfreq=4194304
Starting tests for strategy2 (Fewer_Regions)
  Fewer_Regions | threads=1 | rep=1 | nfreq=65536
  Fewer_Regions | threads=1 | rep=2 | nfreq=65536
  Fewer_Regions | threads=1 | rep=3 | nfreq=65536
  Fewer_Regions | threads=1 | rep=4 | nfreq=65536
  Fewer_Regions | threads=1 | rep=5 | nfreq=65536
  Fewer_Regions | threads=2 | rep=1 | nfreq=131072
  Fewer_Regions | threads=2 | rep=2 | nfreq=131072
  Fewer_Regions | threads=2 | rep=3 | nfreq=131072
  Fewer_Regions | threads=2 | rep=4 | nfreq=131072
  Fewer_Regions | threads=2 | rep=5 | nfreq=131072
  Fewer_Regions | threads=4 | rep=1 | nfreq=262144
  Fewer_Regions | threads=4 | rep=2 | nfreq=262144
  Fewer_Regions | threads=4 | rep=3 | nfreq=262144
  Fewer_Regions | threads=4 | rep=4 | nfreq=262144
  Fewer_Regions | threads=4 | rep=5 | nfreq=262144
  Fewer_Regions | threads=8 | rep=1 | nfreq=524288
  Fewer_Regions | threads=8 | rep=2 | nfreq=524288
  Fewer_Regions | threads=8 | rep=3 | nfreq=524288
  Fewer_Regions | threads=8 | rep=4 | nfreq=524288
  Fewer_Regions | threads=8 | rep=5 | nfreq=524288
