Grid_NX,Grid_NY,Total_Cells,Time_sec,ns_per_cell,Checksum
64,64,4096,0.2243076115846634,54.7626,95.29683677712327
96,96,9216,0.23163357377052307,25.1338,143.53018067820355
128,128,16384,0.2296310719102621,14.0155,257.311488287519
192,192,36864,0.23838655464351177,6.4666,578.4146248799386
256,256,65536,0.23336218670010567,3.5608,1038.9418329586078
384,384,147456,0.2347493264824152,1.5919,2354.6150274281117
512,512,262144,0.23139607720077038,.8827,4117.908384293905
768,768,589824,0.23438082076609135,.3973,9264.933737573405
1024,1024,1048576,0.4004953596740961,.3819,16470.993291673225
1536,1536,2359296,0.8311595860868692,.3522,37059.734906218946
2048,2048,4194304,1.433808820322156,.3418,65883.97316661144
